auteur;opinion;commentaire;note;date
YP;Pratique, mais...;Pratique, mais beaucoup d'emballage plastique, des ingrédients souvent manquants.Le model d'abonnement n'ai pas pratique. Il faudrait pouvoir sélectionner uniquement les semaines ou on désir recevoir un colis. Au lieu de le recevoir par défaut ou de devoir annuler semaine par semaine.En réponse à HelloFresh :Merci de me prendre pour un débile, j’ai très bien compris comment fonctionne votre abonnement. Mon propos est que votre modèle d’abonnement n’ait pas pratique.J’en profite pour ajouter que certains produits arrivent avec une date limite extrêmement courte (expiration deux jours après la livraison). Cette semaine, j’ai dû jeter 90 % d’un sachet de salade, avant même sa date d’expiration. Ça demande pas mal de logistique pour vérifier le contenu du colis, vérifier les dates d’expiration, détecter et reporter les ingrédients manquants.;3; 12 mai 2023
Bastien Robinot Mathly;Produits abîmés, Livraisons annulées,  Service client inexistant;Le service client est inexistant, 2 semaines de suite que nous sommes prélevés mais que la box n'est pas livrée.Nous recevons enfin une box au bout de 3 semaines, il manque des produits et l'emballage de la viande est abimé, celle ci n'est donc plus sous vide.Le service client refuse tout remboursement il souhaite juste nous créditer un avoir pour la suite alors que nous voulons juste nous désabonner...Je déconseille fortement car en cas de problème le service client n'est d'aucune aide, a part pour passer de la musique d'attente.je vois déjà venir la réponse d'Hello fresh qui nous dit de prendre contact avec le service client (Ce que nous avons déjà fait à de nombreuse reprise sans résultat.....);2; 29 juin 2023
Mr Antonin Maltese;Renouveau dans ma cuisine;Des recettes savoureuses et nombreuses sont proposées chaque semaine. Les portions sont impeccables, les aliments reçus de qualité. De nouvelles idées pour cuisiner à un prix raisonnable. Je suis vraiment emballée par Hello Fresh;1; 13 juin 2023
Flavien;Bien mais avec tant qu'il n'y a pas de problèmes;L'idée de ne pas avoir à réfléchir a la liste des courses est top. Les recettes sont bonnes. Les livraisons sont plutot respectées. Cependant, lorsqu'il manque des ingrédients, il n'y a pas de compensation sur la prochaine box, si elle a une réduction et ainsi de suite, pas non plus de renvoi de l'ingrédient. Si j'ai un problème lors de l'achat d'une voiture, je ne vais pas attendre le prochain achat d'une voiture pour avoir un dédommagement...;5; 31 mai 2023
HelloFresh, Hello l’arnaque 🙂;HelloFresh, Hello l’arnaque 👋;La meilleure des arnaques !Alors pour tout vous expliquer, j’ai fais une simulation sur le site de Hellofresh.fr pour savoir combien me coûterait à peu près une box. Cependant, quelques heures après ma simulation, j’avais fais une autorisation de prélèvement avec PayPal pour que HelloFresh puisse me facturer quand j’aurai fini ma commande. Cependant, ne l’ayant pas encore finalisé, j’ai été prélevé en automatique via PayPal par Hellofresh alors que je n’avais pas encore fini de passer commande. Je précise, j’ai été prélevé sans mon accord. Ensuite, je contacte le service client et on me rembourse. Cependant, j’apprends 3 jours après environ que Hellofresh m’a expédié une box malgré mon annulation. Alors je les contacte de nouveau et ils me disent ce n’est pas grave acceptez la box quand même pour éviter de gaspiller. Ce que je fais justement. Cependant ceci est une ruse pour vous arnaquer en effet. Après l’avoir accepté, j’ai reçu un courrier de Hellofresh m’imposant de régler la somme de la commande puisque je l’avais accepté. Alors je les recontacte et le service client me dit oui c’est une erreur excusez nous. Très bien tout va bien jusque là. Cependant, 1 mois après environ, je reçois un mail d’une société de recouvrement concernant cette même commande Hellofresh. Je les contacte alors pour leur demander ce qu’il se passe vu que Hellofresh m’avait dit que tout était bon pour ma facture précédente et que c’était une erreur. Je leur explique la situation et là on me dit « à mes vous vous êtes fait arnaquer, il fallait la refuser la box ». Et cette dame n’avait pas tord, je pense que j’étais sans doute pas le seul à entre victime de cette escroquerie. Par conséquent maintenant, refusez tout colis de leur part, même si ça gaspille la nourriture. Vous pensez bien que des grandes entreprises comment HelloFresh ont strictement rien à faire de l’environnement, c’est juste du greenwashing.;2; 14 juillet 2023
Pascale Guibout;Un gain de temps!;Un gain de temps!les recettes ont beaucoup de gôut permet de découvrir des mélanges de saveurs innatendues.les quantités sont plutôt très bonnes sauf pour les crevettes, viandes et poisson un peu petite...J'adore hello Fresh;1; 02 novembre 2022
Marion BIALECKI;Pratique mais baisse de qualité de service;J'utilise Hellofresh depuis 2 ans maintenant, il y a une nette dégradation du services de livraison Chronofresh ce qui malheureusement dégrade l'expérience client.Côté plats, les ingrédients sont de plus en plus souvent les mêmes, aussi je me vois contraintes à faire de plus en plus de pauses entre les semaines pour ne pas lasser les enfants.Enfin, je trouve très dommage que des plats qui n'étaient pas facturables en suppléments auparavant le sont devenus et ne sont donc plus accessibles, sur une formule déjà honereuse à la base.;5; 04 juillet 2023
Anonyme;Très déçue;Très déçue, j'ai oublié d'annuler une box que je ne pourrais réceptionner pour raison personnelle et indépendante de ma volonté.Impossible de trouver une solution, je suis donc prélevée de 46€ d'un colis qui va être retourné à l'envoyeur et certainement jeté.;3; 30 mars 2023
Cecilia Bagaud;Les repas sont excellents et m ont…;Les repas sont excellents et m ont redonné l'envie de cuisiner ma fille et mon compagnon en sont ravis .Les produits sont de bonne qualités et les recettes variés;1; 08 juin 2023
Cloez;J ai commandé plusieures recettes très…;J ai commandé plusieures recettes très très bonne. Par contre celle d aujourd'hui n était pas terrible avec les boulettes;5; 21 juin 2023
Caro;Recettes goûteuse mais il manquait des…;Recettes goûteuse mais il manquait des ingrédients et des produits étaient abîmés ( tube de fromage blanc et tomate éclatés);4; 23 juin 2023
Fabien RX;Commande non livrée;Je n’ai toujours pas été livré ma commande qui était sensée être prévue jeudi 06/07 et impossible d’entrer en contact avec vous;4; 07 juin 2023
Mathieu LAFOND;PRoduits bons et de qualités;Les produits sont bons et de qualités Les recettes sont assez simples à réaliser même avec un minimum dans une cuisine Seul le prix peut être réfractaire;1; 29 juin 2023
Ciarda Chambers;Je ne recommande pas;Nous avons commencé un abonnement avec Hello Fresh en 2021 et jusqu’à récemment, nous étions satisfaits de la qualité des repas et de la livraison.  Cependant, plus récemment, nous avons rencontré de multiples problèmes, y compris des ingrédients qui sont arrivés le jour de leur expiration et des repas entiers manquants dans la boîte.  Dans ces cas, le service à la clientèle était difficile à contacter et très inutile, aucune solution n’ayant été fournie pour les problèmes que nous avons signalés.  Nous avons maintenant annulé notre abonnement et je ne recommande pas.;5; 04 juillet 2023
Florence;Bien mais...;Le principe est sympa MAIS une fois les codes promos passés ça revient très cher, les recettes ne sont finalement pas très variées quand on commande chaque semaine, il manque toujours au moins un ingrédient dans chaque colis, le créneau de livraison est bien trop grand.;1; 07 juin 2023
poileve yves;Les recettes sont bien mais;Les recettes sont bien. La livraison en revanche est déplorable, quasiment jamais dans les temps voire reportée au lendemain sans aucune explication ni excuse. Nul;3; 04 juillet 2023
Olivia NERI;Les recettes sont excellentes;Les recettes sont excellentes, je n'ai plus à réfléchir pour les courses et c'est économique.;1; 08 juin 2023
Chantal  Mangatia;Très bons produits et frais recettes…;Très bons produits et frais recettes très bien adaptées et faciles à réaliser;4; 01 juillet 2023
lilou Chan;Livraison horrible;Les recettes sont super mais les livreurs nul .Nous ne sommes pas déçus des recettes qui sont très bonnes. Mais plusieurs fois des livraisons 🚚 qui se passe mal. Le camion ne trouve pas l’adresse alors que d’autres services de livraison y arrive, le livreur appelle quelqu’un d’autre et dit qu’il a livré le colis, ou décide de ne pas se présenter et prétexte que cela vient du destinataire qui l’a soit disant exprimer au téléphone .ou encore aujourd’hui ou le livreur me passe le colis d’une autre personne, je lui dit que ce n’est pas mon nom et pas mon colis et il me dit qu’il n’y a pas de colis a mon nom dans le camions je me retrouve obligé de faire son boulot et vérifier un a un les cartons et trouver mon nom . Mais quel honte ! Et bien sûr lors de plainte a chronofresh la société dit le plus souvent qu’elle ne peut rien faire pour nous;3,5; 03 mars 2023
Stéphane  Guignon;Très bonne recette qui peuvent être…;Très bonne recette qui peuvent être réalisé comme un pro de la cuisine sans rien connaître de la cuisine.Nous sommes au restaurant tout les jours 👍👍👍👍;2; 20 juin 2023
Mlle Fiona GUILHOT;Decu de la livraison;Je suis très déçu j'ai fait ma commande pour cette semaine je devais être livré aujourd'hui et je n'ai personne n'est venu me livrer....;4; 01 juillet 2023
Carole Ternard;Satisfaite;Repas savoureux, équilibrés, avec des produits frais.Fini le gâchis Onéreux quand il n’y a plus les réductions du début.;1; 24 avril 2023
Céline;Super recette;Super recette, ça permet de manger équilibré avec des ingrédients de bonne qualité.;4; 05 juillet 2023
Charlotte;Livraison inexistante;Première commande HelloFresh :Je choisis une livraison le mercredi, seul jour où je suis à la maison. Confirmation de ChronoFresh mardi soir, le colis sera livré mercredi matin. Je l’attends toute la journée, pas de colis. J’appelle ChronoFresh (20 minutes perdues), il faut voir avec HelloFresh. Étant au travail le jeudi, HelloFresh me conseille de changer le site de la livraison, ce que je fais. Confirmation le jeudi matin de ChronoFresh, je serai livrée entre 10h et 11h et je vois le livreur tout près sur la carte. 11h30 : mon changement de livraison a bien été pris en compte, je serai donc livrée le vendredi !! Parce que ChronoFresh peut mettre 24h à enregistrer un changement de site de livraison, et mon colis repart en centre de distribution.Résultat : beaucoup de temps passé à attendre un colis, 2 jours de retard, pour des produits qui sont sensés être frais mais qui sont en colis depuis une semaine ! Hâte de voir l’aspects des produits « Fresh ». Et HelloFresh qui me demande comment s’est passée par première box, avec un chatbot qui m’empêche d’exprimer mon mécontentement ! Si c’est pour être dédommagée en crédit HelloFresh, c’est gentil mais je ne suis pas sure de vouloir recommander.;4; 05 juillet 2023
Laura;Arnaque;1ère box : Recette pour quatre personnes manquante. Ça commence bien ! Je contacte le service client qui me fait un avoir de 18,30€ sur la prochaine commande.Deuxième box, la réduction ne passe pas soi-disant parce que j’ai une réduction de 15 €. Cela n’était stipulé nulle part !Merci de régulariser tout ça. Sinon, vous perdrez un client.Je modifierai mon commentaire si le service client fait quelque chose.;1; 03 juillet 2023
Matyld;Pratique plus besoin de faire ses…;Pratique plus besoin de faire ses courses je trouve ça génial pour 1 personne comme moi qui n'aime pas cuisiner.  Il n'y a plus qu'à suivre !;1; 29 juin 2023
michele guyader;Les plats proposés sont intéressants et…;Les plats proposés sont intéressants et donnent des idées et des envies. Ils aident à l'organisation du quotidien.;5; 01 juin 2023
lili;très positif ,cependant je trouve qu'il…;très positif ,cependant je trouve qu'il y a souvent des pates ce serait bien de diversifier un peu plus les menus,sans pour autant devoir régler un supplément a chaque fois;4; 29 juin 2023
